state,election,year,D,R,T
North Carolina 1,House,2012,G.K. Butterfield,Pete DiLauro,Darryl Holloman
North Carolina 2,House,2012,Steve Wilkins,Renee Ellmers,Brian Irving
North Carolina 3,House,2012,Erik Anderson,Walter Jones,
North Carolina 4,House,2012,David Price,Tim D'Annunzio,
North Carolina 5,House,2012,Elisabeth Motsinger,Virginia Foxx,
North Carolina 6,House,2012,Tony Foriest,Howard Coble,
North Carolina 7,House,2012,Mike McIntyre,David Rouzer,
North Carolina 8,House,2012,Larry Kissell,Richard Hudson,
North Carolina 9,House,2012,Jennifer Roberts,Robert Pittenger,Curtis Campbell
North Carolina 10,House,2012,Patsy Keever,Patrick McHenry,
North Carolina 11,House,2012,Hayden Rogers,Mark Meadows,
North Carolina 12,House,2012,Mel Watt,Jack Brosch,
North Carolina 13,House,2012,Charles Malone,George Holding,
North Dakota 1,House,2012,Pam Gulleson,Kevin Cramer,Eric Olson
Ohio 1,House,2012,Jeff Sinnard,Steve Chabot,"Jim Berns,Rich Stevenson"
Ohio 2,House,2012,William Smith,Brad Wenstrup,
Ohio 3,House,2012,Joyce Beatty,Chris Long,"Richard Ehrbar,Bob Fitrakis"
Ohio 4,House,2012,James Slone,Jim Jordan,Chris Calla
Ohio 5,House,2012,Angela Zimmann,Bob Latta,Eric Eberly
Ohio 6,House,2012,Charlie Wilson,Bill Johnson,
Ohio 7,House,2012,Joyce Healy-Abrams,Bob Gibbs,
Ohio 8,House,2012,,John Boehner,
Ohio 9,House,2012,Marcy Kaptur,Samuel Wurzelbacher,Sean Stipe
Ohio 10,House,2012,Sharen Neuhardt,Mike Turner,David Harlow
Ohio 11,House,2012,Marcia Fudge,,
Ohio 12,House,2012,James Reese,Pat Tiberi,Robert Fitrakis
Ohio 13,House,2012,Tim Ryan,Marisha Agana,
Ohio 14,House,2012,Dale Virgil Blanchard,David Joyce,"Elaine Mastromatteo,David Macko"
Ohio 15,House,2012,Pat Lang,Steve Stivers,
Ohio 16,House,2012,Betty Sutton,Jim Renacci,
Oklahoma 1,House,2012,John Olson,Jim Bridenstine,Craig Allen
Oklahoma 2,House,2012,Rob Wallace,Markwayne Mullin,Michael Fulks
Oklahoma 3,House,2012,Tim Murray,Frank Lucas,William Sanders
Oklahoma 4,House,2012,Donna Bebo,Tom Cole,RJ Harris
Oklahoma 5,House,2012,Tom Guild,James Lankford,"Pat Martin,Robert Murphy"
Oregon 1,House,2012,Suzanne Bonamici,Delinda Morgan,"Steven Reynolds,Robert Ekstrom"
Oregon 2,House,2012,Joyce Segers,Greg Walden,Joe Tabor
Oregon 3,House,2012,Earl Blumenauer,Ronald Green,"Woodrow Broadnax,Michael Cline"
Oregon 4,House,2012,Peter DeFazio,Arthur Robinson,Chuck Huntting
Oregon 5,House,2012,Kurt Schrader,Fred Thompson,"Christina Lugo,Raymond Baldwin"
Pennsylvania 1,House,2012,Bob Brady,John Featherman,
Pennsylvania 2,House,2012,Chaka Fattah,Robert Allen Mansfield,James Foster
Pennsylvania 3,House,2012,Missa Eaton,Mike Kelly,Steven Porter
Pennsylvania 4,House,2012,Harry Perkinson,Scott Perry,"Wayne Wolf,Mike Koffenberger"
Pennsylvania 5,House,2012,Charles Dumas,Glenn Thompson,
Pennsylvania 6,House,2012,Manan Trivedi,Jim Gerlach,
Pennsylvania 7,House,2012,George Badey,Pat Meehan,
Pennsylvania 8,House,2012,Kathy Boockvar,Mike Fitzpatrick,
Pennsylvania 9,House,2012,Karen Ramsburg,Bill Shuster,
Pennsylvania 10,House,2012,Phil Scollo,Tom Marino,
Pennsylvania 11,House,2012,Gene Stilp,Lou Barletta,
Pennsylvania 12,House,2012,Mark Critz,Keith Rothfus,
Pennsylvania 13,House,2012,Allyson Schwartz,Joe Rooney,
